kode,uraian,sumber,kelompok,catatan
400.3.9.5,"Lomba, sayembara, jambore, festival",Pergub 30/2023 Lampiran II,education,
400.3.9.6,Kurikulum/bahan pembelajaran,Pergub 30/2023 Lampiran II,education,
400.3.9.7,Alat bantu pembelajaran,Pergub 30/2023 Lampiran II,education,
400.3.9.8,Pendataan,Pergub 30/2023 Lampiran II,education,
400.3.9.9,"Kelembagaan (Unit kesehatan sekolah, Pendidikan jasmani adaptif, pendidikan inklusi)",Pergub 30/2023 Lampiran II,education,
400.3.10,Pendidik dan Tenaga Pendidik,Pergub 30/2023 Lampiran II,education,
400.3.10.1,Pendataan dan Pemetaan,Pergub 30/2023 Lampiran II,education,
400.3.10.2,Uji Kompetensi Guru,Pergub 30/2023 Lampiran II,education,
400.3.10.3,Sertifikasi Guru,Pergub 30/2023 Lampiran II,education,
400.3.10.4,Penilaian prestasi kerja guru dan pengawas sekolah,Pergub 30/2023 Lampiran II,education,
400.3.10.5,Penghargaan guru dan tenaga kependidikan,Pergub 30/2023 Lampiran II,education,
400.3.10.6,Peningkatan kesejahteraan guru dan tenaga pendidik,Pergub 30/2023 Lampiran II,education,
400.3.10.7,Block grant,Pergub 30/2023 Lampiran II,education,
400.3.10.8,Bimbingan teknis/sosialisasi,Pergub 30/2023 Lampiran II,education,
400.3.11,Penilaian Pendidikan,Pergub 30/2023 Lampiran II,education,SOURCE_AMBIGUITY: source subsequently repeats 400.3.11 as Penilaian Akademik
400.3.11,Penilaian Akademik,Pergub 30/2023 Lampiran II,education,SOURCE_AMBIGUITY: duplicated code in source
400.3.12,Penilaian Non Akademik,Pergub 30/2023 Lampiran II,education,SOURCE_AMBIGUITY: code also used by Data dan Statistik Pendidikan
400.3.13,Analisis dan Sistem Informasi Penilaian,Pergub 30/2023 Lampiran II,education,SOURCE_AMBIGUITY: code also used by Prasarana dan Sarana Pendidikan
400.3.12,Data dan Statistik Pendidikan,Pergub 30/2023 Lampiran II,education,SOURCE_AMBIGUITY: duplicated code in source
400.3.12.1,"Data peserta didik, pendidik dan tenaga kependidikan",Pergub 30/2023 Lampiran II,education,
400.3.12.2,Data Satuan Pendidikan dan Proses Pembelajaran,Pergub 30/2023 Lampiran II,education,
400.3.13,Prasarana dan Sarana Pendidikan,Pergub 30/2023 Lampiran II,education,SOURCE_AMBIGUITY: duplicated code in source
400.3.13.1,Prasarana Pendidikan,Pergub 30/2023 Lampiran II,education,
400.3.13.2,Sarana Pendidikan,Pergub 30/2023 Lampiran II,education,
400.3.13.3,Monitoring dan Evaluasi,Pergub 30/2023 Lampiran II,education,
